stringId_A,stringId_B,preferredName_A,preferredName_B,ncbiTaxonId,score,nscore,fscore,pscore,ascore,escore,dscore,tscore
9606.ENSP00000381504,9606.ENSP00000419628,PRPS2,NUDT5,9606,0.909,0.047,0.0,0.0,0.075,0.0,0.9,0.095
9606.ENSP00000381504,9606.ENSP00000424595,PRPS2,PRPS1L1,9606,0.911,0.0,0.0,0.048,0.0,0.132,0.9,0.056
9606.ENSP00000419628,9606.ENSP00000424595,NUDT5,PRPS1L1,9606,0.907,0.047,0.0,0.0,0.055,0.0,0.9,0.095
9606.ENSP00000245919,9606.ENSP00000405330,FOSB,ESR1,9606,0.653,0.0,0.0,0.0,0.044,0.066,0.5,0.315
9606.ENSP00000245919,9606.ENSP00000327048,FOSB,MAF,9606,0.812,0.0,0.0,0.0,0.0,0.203,0.0,0.774
9606.ENSP00000245919,9606.ENSP00000387699,FOSB,CREB1,9606,0.9,0.0,0.0,0.0,0.052,0.0,0.5,0.807
9606.ENSP00000245919,9606.ENSP00000310170,FOSB,FOSL1,9606,0.998,0.0,0.0,0.072,0.1,0.0,0.9,0.985
9606.ENSP00000245919,9606.ENSP00000264716,FOSB,FOSL2,9606,0.998,0.0,0.0,0.0,0.176,0.0,0.9,0.984
9606.ENSP00000245919,9606.ENSP00000360266,FOSB,JUN,9606,0.999,0.0,0.0,0.0,0.78,0.807,0.9,0.997
9606.ENSP00000245919,9606.ENSP00000303315,FOSB,JUNB,9606,0.999,0.0,0.0,0.0,0.659,0.728,0.9,0.996
9606.ENSP00000245919,9606.ENSP00000252818,FOSB,JUND,9606,0.999,0.0,0.0,0.0,0.173,0.964,0.9,0.998
9606.ENSP00000245919,9606.ENSP00000306245,FOSB,FOS,9606,0.999,0.0,0.0,0.066,0.826,0.359,0.9,0.984
9606.ENSP00000252818,9606.ENSP00000327048,JUND,MAF,9606,0.57,0.0,0.0,0.0,0.052,0.073,0.0,0.551
9606.ENSP00000252818,9606.ENSP00000405330,JUND,ESR1,9606,0.668,0.0,0.0,0.0,0.0,0.057,0.5,0.353
9606.ENSP00000252818,9606.ENSP00000379330,JUND,NFATC2,9606,0.686,0.0,0.0,0.0,0.0,0.137,0.54,0.274
